日期,股票代號,股票名稱,5星分數,最新股價,漲跌幅%,建議操作,防守價位,歷史核心結論與評語
2026-09-04,2377,微星,5,161.5,+7.31%,強勢續抱,MA20: 151.53,KDJ: 74.8/64.5，量比: 2.08
2026-09-04,2891,中信金,4,68.4,+1.33%,強勢續抱,MA20: 65.61,KDJ: 87.6/74.5，量比: 0.74
2026-09-04,2395,研華,4,711.0,+5.49%,強勢續抱,MA20: 679.45,KDJ: 64.1/60.2，量比: 1.59
2026-09-04,2352,佳世達,4,29.25,+2.63%,強勢續抱,MA20: 28.7,KDJ: 56.1/43.2，量比: 1.82
2026-09-04,2618,長榮航,4,42.5,-0.70%,強勢續抱,MA20: 42.09,KDJ: 50.7/51.9，量比: 0.46
2026-09-04,3045,台灣大,4,118.0,+0.00%,強勢續抱,MA20: 113.6,KDJ: 97.6/95.3，量比: 0.52
2026-09-04,3231,緯創,4,198.0,+5.04%,強勢續抱,MA20: 184.95,KDJ: 67.8/51.4，量比: 1.51
2026-09-04,2027,大成鋼,4,50.2,+0.00%,強勢續抱,MA20: 49.31,KDJ: 50.2/44.8，量比: 1.49
2026-09-04,2382,廣達,3,345.0,+2.99%,偏多觀察,MA20: 329.82,KDJ: 82.4/78.6，量比: 1.6
2026-09-04,2002,中鋼,3,19.1,+0.53%,偏多觀察,MA20: 19.19,KDJ: 29.0/28.9，量比: 0.54
2026-09-04,2886,兆豐金,3,49.55,-1.69%,偏多觀察,MA20: 47.85,KDJ: 78.9/72.7，量比: 0.8
2026-09-04,2884,玉山金,3,43.55,+0.81%,偏多觀察,MA20: 38.77,KDJ: 95.0/89.7，量比: 1.1
2026-09-04,2603,長榮,3,233.0,-2.51%,偏多觀察,MA20: 232.9,KDJ: 34.9/40.8，量比: 1.72
2026-09-04,2353,宏碁,3,32.7,+4.64%,偏多觀察,MA20: 31.36,KDJ: 72.1/67.1，量比: 2.82
2026-09-04,2610,華航,3,20.45,-0.49%,偏多觀察,MA20: 20.33,KDJ: 44.6/47.4，量比: 0.7
2026-09-04,2885,元大金,3,69.8,+1.90%,偏多觀察,MA20: 65.87,KDJ: 85.8/70.3，量比: 0.69
2026-09-04,1102,亞泥,3,35.1,-0.28%,偏多觀察,MA20: 34.14,KDJ: 78.8/80.0，量比: 0.52
2026-09-04,1402,遠東新,3,29.15,+0.17%,偏多觀察,MA20: 28.38,KDJ: 52.1/48.8，量比: 0.48
2026-09-04,4904,遠傳,3,104.0,+0.48%,偏多觀察,MA20: 101.45,KDJ: 85.4/73.0，量比: 0.52
2026-09-04,1519,華城,3,746.0,+3.32%,偏多觀察,MA20: 724.8,KDJ: 52.1/56.5，量比: 0.66
2026-09-04,2006,東和鋼鐵,3,81.6,-1.21%,偏多觀察,MA20: 82.21,KDJ: 54.3/50.0，量比: 0.7
2026-09-04,2207,和泰車,3,539.0,+3.45%,偏多觀察,MA20: 517.25,KDJ: 67.0/56.2，量比: 1.33
2026-09-04,2356,英業達,3,67.5,+3.85%,偏多觀察,MA20: 66.35,KDJ: 57.1/49.8，量比: 1.58
2026-09-04,4938,和碩,3,95.4,+5.53%,偏多觀察,MA20: 90.67,KDJ: 74.3/60.3，量比: 1.8
