股票代號,股票名稱,產業,最新股價,漲跌幅%,5星總分,K值,D值,J值,MA5,MA20,均線差%,成交量,5日均量,量比,投信連買天數,投信淨買比%,外資連買天數,外資買超張數,投信買超張數,自營商買超張數,DIF,低流動性風險,均線過發散,黑名單否決,更新時間
2618,長榮航,航運,42.85,+0.82%,5,72.4,58.3,100.6,42.22,42.17,0.1,37960,17547.6,2.16,7,19.71,3,11208,7481,417,0.0186,正常,正常,正常,2026-09-23
1102,亞泥,水泥,35.95,+1.41%,4,81.1,74.8,93.6,35.42,35.16,0.7,11338,7287.8,1.56,7,1.48,3,5216,168,82,0.3513,正常,正常,正常,2026-09-23
2412,中華電,通信網路,145.5,+0.34%,3,96.1,95.5,97.3,145.1,140.38,3.4,8326,14534.7,0.57,3,11.65,15,3633,970,-12,2.1441,正常,正常,正常,2026-09-23
2382,廣達,電腦週邊,341.5,-0.15%,3,66.6,62.4,75.0,343.0,338.73,1.3,9982,14892.8,0.67,9,6.74,0,-2764,673,99,3.2456,正常,正常,正常,2026-09-23
2884,玉山金,金融保險,45.6,-0.98%,3,63.0,76.7,35.6,46.31,43.94,5.4,25178,45152.4,0.56,15,11.93,0,-5007,3005,532,2.0448,正常,正常,正常,2026-09-23
2603,長榮,航運,243.0,+0.21%,3,81.1,75.5,92.4,242.1,236.18,2.5,5801,8938.8,0.65,3,33.81,0,-1900,1962,116,4.5044,正常,正常,正常,2026-09-23
2609,陽明,航運,59.9,-1.48%,3,59.1,64.4,48.4,60.96,58.95,3.4,27683,33822.0,0.82,3,0.26,3,3211,71,-217,1.3194,正常,正常,正常,2026-09-23
2379,瑞昱,半導體,761.0,+0.79%,3,75.2,66.8,91.9,739.6,722.05,2.4,4887,2980.8,1.64,1,3.38,6,1104,165,-55,3.817,正常,正常,正常,2026-09-23
2376,技嘉,電腦週邊,365.0,-0.41%,3,62.1,51.2,83.9,362.1,355.15,2.0,3929,6795.8,0.58,0,0.0,4,442,-13,-30,3.1447,正常,正常,正常,2026-09-23
2610,華航,航運,20.45,-0.24%,3,65.8,50.9,95.6,20.34,20.35,0.0,34416,15630.0,2.2,6,15.98,2,14583,5498,66,-0.1111,正常,正常,正常,2026-09-23
9910,豐泰,其他,70.0,+2.04%,3,50.7,33.5,85.1,68.9,68.59,0.5,1710,1151.7,1.49,15,4.09,3,997,70,2,-0.1043,正常,正常,正常,2026-09-23
4904,遠傳,通信網路,105.5,+0.00%,3,64.0,73.3,45.4,106.1,104.1,1.9,3733,6442.9,0.58,3,25.34,0,-362,946,154,1.0559,正常,正常,正常,2026-09-23
3017,奇鋐,電腦週邊,3470.0,+2.36%,3,66.0,54.7,88.7,3378.0,3356.0,0.7,2649,2719.2,0.97,1,8.45,1,21,224,37,108.6356,正常,正常,正常,2026-09-23
2207,和泰車,汽車,520.0,-0.19%,3,31.2,42.3,9.1,526.6,526.9,0.1,204,370.7,0.55,5,5.38,0,-39,11,2,2.6106,⚠️低流動,正常,正常,2026-09-23
6213,聯茂,電子零組件,541.0,-0.37%,3,60.0,52.9,74.0,525.2,529.6,0.8,11528,24081.4,0.48,2,0.82,4,315,95,-26,19.0645,正常,正常,正常,2026-09-23
6271,同欣電,電子零組件,228.5,+0.22%,3,66.1,57.2,83.8,228.2,224.12,1.8,1750,3209.4,0.55,0,0.0,8,65,0,-30,5.9348,正常,正常,正常,2026-09-23
2404,漢唐,其他電子,1250.0,+9.65%,3,81.0,66.4,110.1,1135.0,1073.25,5.8,5163,1687.3,3.06,4,6.84,2,1498,353,91,12.2036,正常,正常,正常,2026-09-23
8464,億豐,其他,374.5,-0.13%,3,47.7,49.2,44.6,372.4,371.88,0.1,232,611.6,0.38,0,0.0,12,121,0,1,0.6763,正常,正常,正常,2026-09-23
3576,聯合再生,光電,17.75,+0.85%,3,60.2,47.5,85.7,17.29,17.07,1.3,11348,11843.6,0.96,1,0.0,5,1884,0,0,0.0117,正常,正常,正常,2026-09-23
2330,台積電,半導體,2500.0,+1.63%,2,69.7,54.5,100.1,2465.0,2429.25,1.5,22818,23605.1,0.97,0,0.0,1,7123,-1143,213,18.8021,正常,正常,正常,2026-09-23
2454,聯發科,半導體,5185.0,+0.10%,2,68.3,62.2,80.5,4917.0,4531.25,8.5,6430,9374.1,0.69,0,0.0,6,496,-18,16,262.7671,正常,正常,正常,2026-09-23
2308,台達電,電子零組件,1900.0,+0.00%,2,73.8,60.0,101.3,1819.0,1773.0,2.6,9734,14116.3,0.69,3,2.17,0,-139,211,1,12.1698,正常,正常,正常,2026-09-23
2882,國泰金,金融保險,111.5,-0.45%,2,56.0,53.2,61.7,111.8,110.97,0.7,17347,24527.6,0.71,1,7.53,0,-2724,1307,118,2.438,正常,正常,正常,2026-09-23
2891,中信金,金融保險,68.9,-1.01%,2,61.8,69.8,45.8,69.92,67.84,3.1,20611,41576.4,0.5,1,9.18,0,-5502,1892,380,1.1522,正常,正常,正常,2026-09-23
2886,兆豐金,金融保險,50.0,-0.99%,2,38.8,54.2,8.0,50.92,50.14,1.6,20938,26310.6,0.8,0,0.0,5,4641,-3276,542,0.6903,正常,正常,正常,2026-09-23
2357,華碩,電腦週邊,958.0,+0.52%,2,60.2,49.5,81.8,953.0,968.65,1.6,1349,2776.0,0.49,2,1.36,2,16,18,42,13.8803,正常,正常,正常,2026-09-23
1216,統一,食品,75.4,+1.07%,2,51.5,38.4,77.6,75.04,75.52,0.6,7666,8820.5,0.87,3,0.29,1,2807,22,381,-0.3806,正常,正常,🔴否決黑名單,2026-09-23
2892,第一金,金融保險,39.85,-0.13%,2,73.2,79.7,60.1,40.01,37.93,5.5,18149,29206.3,0.62,3,17.82,0,-1407,3234,44,1.4618,正常,正常,正常,2026-09-23
2605,新興,航運,37.05,-0.13%,2,56.2,49.2,70.1,36.94,36.02,2.6,6735,10966.5,0.61,0,0.0,0,-528,0,-84,0.753,正常,正常,正常,2026-09-23
2408,南亞科,半導體,515.0,+3.62%,2,58.8,49.2,77.9,508.2,509.23,0.2,62507,51745.5,1.21,0,0.0,1,29196,-180,280,5.3834,正常,正常,正常,2026-09-23
2353,宏碁,電腦週邊,31.55,+0.48%,2,45.2,47.2,41.3,31.89,31.64,0.8,12084,18678.4,0.65,15,0.94,0,-82,113,953,0.1605,正常,正常,正常,2026-09-23
2395,研華,電腦週邊,701.0,-0.28%,2,71.0,62.8,87.4,697.2,683.4,2.0,1934,2542.6,0.76,0,0.0,3,661,-325,6,14.4786,正常,正常,正常,2026-09-23
3037,欣興,電子零組件,1160.0,+3.57%,2,78.2,68.3,97.8,1044.2,1001.4,4.3,23050,14293.3,1.61,1,2.49,5,5947,575,-831,18.1301,正常,正常,正常,2026-09-23
8046,南電,電子零組件,1210.0,+3.86%,2,73.2,57.6,104.6,1120.0,1125.25,0.5,17567,11429.2,1.54,1,0.25,2,3401,44,197,-3.241,正常,正常,正常,2026-09-23
2887,台新金,金融保險,42.95,+0.12%,2,60.0,73.6,32.8,43.62,41.92,4.1,38944,73733.9,0.53,1,5.15,0,-2121,2006,532,1.7224,正常,正常,正常,2026-09-23
2890,永豐金,金融保險,45.05,-0.77%,2,76.1,81.7,64.9,45.47,43.36,4.9,20245,31856.6,0.64,3,7.19,0,-3897,1456,269,1.4391,正常,正常,正常,2026-09-23
5876,上海商銀,金融保險,49.25,-0.91%,2,83.3,87.9,74.3,49.52,47.4,4.5,5067,6114.9,0.83,7,7.7,0,-467,390,260,1.4852,正常,正常,正常,2026-09-23
1101,台泥,水泥,25.65,+4.48%,2,56.9,41.8,87.3,24.63,24.48,0.6,130649,21085.4,6.2,0,0.0,2,30065,-24,819,0.0967,正常,正常,正常,2026-09-23
2105,正新,橡膠,30.1,+0.33%,2,27.2,21.6,38.4,30.05,30.48,1.4,2743,4858.3,0.56,4,5.62,0,-165,154,83,-0.3058,正常,正常,🔴否決黑名單,2026-09-23
9904,寶成,其他,24.9,+1.22%,2,76.5,66.4,96.6,24.77,24.58,0.8,10885,12654.6,0.86,10,0.88,1,4974,96,45,0.0363,正常,正常,正常,2026-09-23
9945,潤泰新,其他,29.55,+2.07%,2,74.4,63.4,96.6,29.13,28.35,2.8,8610,7294.9,1.18,0,0.0,3,3057,0,143,0.3105,正常,正常,正常,2026-09-23
3481,群創,光電,49.6,-1.78%,2,56.7,49.2,71.7,49.45,48.8,1.3,219243,231870.2,0.95,0,0.0,0,-47830,-3735,-2142,0.0767,正常,正常,正常,2026-09-23
1304,台聚,塑膠,12.25,+0.00%,2,35.3,35.5,34.9,12.34,12.38,0.3,1439,2601.1,0.55,0,0.0,3,121,0,-192,0.0069,正常,正常,正常,2026-09-23
1308,亞聚,塑膠,14.2,+0.35%,2,36.4,33.7,41.9,14.22,14.24,0.1,1055,1341.5,0.79,0,0.0,3,271,0,6,0.0879,正常,正常,正常,2026-09-23
6505,台塑化,油電燃氣,87.3,+0.11%,2,67.6,65.3,72.3,87.14,81.31,7.2,12810,23133.8,0.55,3,2.41,1,3216,309,58,3.8262,正常,正常,正常,2026-09-23
1513,中興電,電機機械,165.5,-0.30%,2,58.9,50.0,76.7,166.0,165.45,0.3,1419,2022.5,0.7,1,0.07,3,325,1,6,0.2374,正常,正常,正常,2026-09-23
2006,東和鋼鐵,鋼鐵,85.8,-0.35%,2,61.9,58.6,68.4,85.5,82.51,3.6,1864,2854.5,0.65,1,33.79,0,-496,630,-1,1.4509,正常,正常,正常,2026-09-23
2014,中鴻,鋼鐵,16.65,+0.30%,2,49.1,35.4,76.7,16.58,16.79,1.3,1928,1167.6,1.65,0,0.0,2,1084,0,0,-0.1621,正常,正常,🔴否決黑名單,2026-09-23
2367,燿華,電子零組件,41.7,-0.60%,2,56.1,41.1,86.0,41.37,42.15,1.9,2188,3859.7,0.57,0,0.0,4,42,0,-1,-0.7152,正常,正常,🔴否決黑名單,2026-09-23
6239,力成,半導體,286.5,-1.88%,2,65.2,58.2,79.3,285.9,279.55,2.3,9330,17562.7,0.53,0,0.0,0,-824,-17,-64,2.3537,正常,正常,正常,2026-09-23
4938,和碩,電腦週邊,91.3,+1.44%,2,56.1,42.7,82.9,90.56,90.81,0.3,9342,7471.0,1.25,0,0.0,1,2321,-300,98,0.334,正常,正常,正常,2026-09-23
2474,可成,其他電子,209.0,-0.48%,2,68.9,63.7,79.4,209.6,207.72,0.9,2433,3186.3,0.76,2,27.95,0,-532,680,-89,2.0351,正常,正常,正常,2026-09-23
5434,崇越,電子通路,542.0,+1.50%,2,57.0,54.4,62.1,536.6,533.75,0.5,506,619.1,0.82,0,0.0,0,-15,-4,10,3.3439,正常,正常,正常,2026-09-23
2633,台灣高鐵,航運,25.6,+0.00%,2,14.1,20.8,0.8,25.74,26.01,1.0,3045,7216.5,0.42,15,19.64,0,-1048,598,36,-0.1002,正常,正常,🔴否決黑名單,2026-09-23
2606,裕民,航運,76.7,+0.00%,2,43.4,42.1,46.0,77.02,76.6,0.5,1711,3327.5,0.51,1,26.12,0,-346,447,10,1.7534,正常,正常,正常,2026-09-23
2637,慧洋-KY,航運,100.5,+0.00%,2,57.2,59.7,52.2,101.5,98.97,2.6,941,3319.4,0.28,1,0.21,6,137,2,-8,2.9044,正常,正常,正常,2026-09-23
2707,晶華,觀光,177.5,-0.28%,2,54.2,42.0,78.5,177.4,178.1,0.4,56,108.1,0.51,0,0.0,3,6,0,0,-0.4499,⚠️低流動,正常,🔴否決黑名單,2026-09-23
8150,南茂,半導體,107.0,+1.42%,2,69.6,57.4,94.1,99.24,91.87,8.0,116219,51700.9,2.25,0,0.0,6,9255,-3,-321,2.6795,正常,正常,正常,2026-09-23
2317,鴻海,其他電子,256.0,+1.19%,1,72.6,56.7,104.3,252.0,251.35,0.3,35755,29294.0,1.22,1,2.71,2,5861,968,533,0.2412,正常,正常,正常,2026-09-23
2303,聯電,半導體,160.0,+0.00%,1,78.5,80.3,75.0,156.1,139.95,11.5,124757,225193.8,0.55,14,1.1,0,-10354,1374,-900,7.9475,正常,正常,正常,2026-09-23
2881,富邦金,金融保險,153.0,-0.97%,1,75.3,73.1,79.7,152.8,149.0,2.6,14876,19075.9,0.78,0,0.0,0,-1258,-227,100,5.0018,正常,正常,正常,2026-09-23
3711,日月光投控,半導體,693.0,+0.00%,1,75.6,65.7,95.4,660.2,622.15,6.1,15368,18142.6,0.85,0,0.0,6,4008,-2276,-37,16.7306,正常,正常,正常,2026-09-23
5880,合庫金,金融保險,26.75,-1.11%,1,51.9,70.3,15.1,27.17,26.65,2.0,17504,18072.5,0.97,0,0.0,0,-3106,-100,24,0.4362,正常,正常,正常,2026-09-23
